,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W/L
17,Deommodore Lenoir,SFO,1,5,2,40.0%,52,26.0,10.4,0,39.2,13.2,49,3,0,0,0,0.0,0,5,0,0.0%,W
18,Talanoa Hufanga,SFO,0,2,1,50.0%,18,18.0,9.0,0,81.2,15.5,8,10,2,0,0,0.0,0,5,0,0.0%,W
19,Azeez Al-Shaair,SFO,0,1,1,100.0%,3,3.0,3.0,0,79.2,3.0,3,0,0,0,0,0.0,0,7,0,0.0%,W
20,Samson Ebukam,SFO,0,0,0,,,,,,,,,,0,0,1,1.0,2,2,0,0.0%,W
21,Nick Bosa,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%,W
22,Charles Omenihu,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,,W
0,Jimmie Ward,SFO,0,8,6,75.0%,101,16.8,12.6,1,156.2,5.5,50,51,0,0,0,0.0,0,7,0,0.0%,W
1,Deommodore Lenoir,SFO,0,7,5,71.4%,124,24.8,17.7,0,113.7,18.4,100,24,1,0,1,0.0,1,7,0,0.0%,W
2,Talanoa Hufanga,SFO,0,5,5,100.0%,83,16.6,16.6,1,158.3,12.2,61,22,3,0,1,0.0,1,9,0,0.0%,W
3,Charvarius Ward,SFO,0,6,5,83.3%,24,4.8,4.0,1,122.9,7.8,18,6,0,0,0,0.0,0,6,0,0.0%,W
4,Tashaun Gipson,SFO,1,3,2,66.7%,44,22.0,14.7,0,70.1,14.3,20,24,0,0,0,0.0,0,4,0,0.0%,W
5,Arik Armstead,SFO,0,1,1,100.0%,14,14.0,14.0,0,118.7,-1.0,-1,15,0,0,0,0.0,0,4,0,0.0%,W
6,Fred Warner,SFO,0,2,1,50.0%,4,4.0,2.0,0,56.2,17.0,-2,6,0,0,0,0.0,0,12,0,0.0%,W
7,Azeez Al-Shaair,SFO,0,1,1,100.0%,45,45.0,45.0,0,118.7,45.0,45,0,1,0,0,0.0,0,7,0,0.0%,W
8,Dre Greenlaw,SFO,0,3,1,33.3%,0,0.0,0.0,0,42.4,2.0,-1,1,0,0,0,0.0,0,8,0,0.0%,W
9,Nick Bosa,SFO,0,0,0,,,,,,,,,,0,1,5,0.0,6,1,0,0.0%,W
10,Kerry Hyder,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,W
11,Charles Omenihu,SFO,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,,W
12,T.Y. McGill,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%,W
13,Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,W
14,Nate Hobbs,LVR,0,10,9,90.0%,91,10.1,9.1,2,144.2,6.9,65,26,0,0,0,0.0,0,8,0,0.0%,W
15,Harvey Langi,LVR,0,7,5,71.4%,42,8.4,6.0,0,86.6,2.6,18,24,2,0,1,0.0,1,9,0,0.0%,W
16,Duron Harmon,LVR,0,6,5,83.3%,91,18.2,15.2,0,118.7,8.0,34,57,3,0,0,0.0,0,9,0,0.0%,W
