,W/L,Player,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
121,W,Joshua Williams,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,>avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,<avgComb,<avgMTkl,<avgMTkl%
138,L,L'Jarius Sneed,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,>avgMTkl,>avgMTkl%
139,L,Jaylen Watson,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,>avgMTkl,>avgMTkl%
140,L,Joshua Williams,<avgInt,>avgTgt,>avgCmp,<avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,>avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,>avgBltz,>avgHrry,<avgQBKD,<avgSk,>avgPrss,>avgComb,<avgMTkl,<avgMTkl%
141,L,Nick Bolton,<avgInt,>avgTgt,>avgCmp,>avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,>avgRat,<avgDADOT,>avgAir,<avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
142,L,Juan Thornhill,<avgInt,<avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,<avgYAC,<avgBltz,<avgHrry,>avgQBKD,<avgSk,>avgPrss,>avgComb,<avgMTkl,<avgMTkl%
143,L,Justin Reid,<avgInt,>avgTgt,>avgCmp,<avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,>avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,>avgMTkl,>avgMTkl%
144,L,George Karlaftis III,<avgInt,<avgTgt,<avgCmp,>avgCmp%,<avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,<avgDADOT,<avgAir,>avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,<avgComb,>avgMTkl,>avgMTkl%
145,L,Darius Harris,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,<avgDADOT,<avgAir,>avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
146,L,Leo Chenal,<avgInt,<avgTgt,<avgCmp,>avgCmp%,<avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,<avgDADOT,<avgAir,<avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,<avgComb,>avgMTkl,>avgMTkl%
147,L,Chris Jones,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,>avgSk,>avgPrss,<avgComb,<avgMTkl,<avgMTkl%
148,L,Frank Clark,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,>avgQBKD,<avgSk,>avgPrss,>avgComb,<avgMTkl,<avgMTkl%
149,L,Khalen Saunders,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,>avgQBKD,<avgSk,>avgPrss,<avgComb,<avgMTkl,<avgMTkl%
150,L,Creed Humphrey,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,<avgComb,<avgMTkl,<avgMTkl%
151,L,Michael Danna,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,<avgComb,<avgMTkl,<avgMTkl%
152,L,Deon Bush,<avgInt,<avgTgt,<avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,>avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,<avgComb,<avgMTkl,<avgMTkl%
167,W,Willie Gay Jr.,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,<avgDADOT,>avgAir,>avgYAC,>avgBltz,<avgHrry,>avgQBKD,<avgSk,>avgPrss,>avgComb,>avgMTkl,>avgMTkl%
168,W,L'Jarius Sneed,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,>avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
169,W,Jaylen Watson,>avgInt,>avgTgt,>avgCmp,<avgCmp%,>avgYds,>avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,>avgDADOT,>avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
170,W,Rashad Fenton,<avgInt,>avgTgt,>avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,>avgDADOT,>avgAir,>avgYAC,>avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,>avgMTkl,>avgMTkl%
171,W,Justin Reid,<avgInt,>avgTgt,>avgCmp,<avgCmp%,<avgYds,<avgYds/Cmp,<avgYds/Tgt,>avgTD,>avgRat,>avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
172,W,Nick Bolton,<avgInt,>avgTgt,>avgCmp,<avgCmp%,<avgYds,>avgYds/Cmp,<avgYds/Tgt,<avgTD,<avgRat,<avgDADOT,<avgAir,<avgYAC,<avgBltz,<avgHrry,<avgQBKD,<avgSk,<avgPrss,>avgComb,<avgMTkl,<avgMTkl%
173,W,Chris Jones,<avgInt,<avgTgt,<avgCmp,>avgCmp%,>avgYds,>avgYds/Cmp,>avgYds/Tgt,<avgTD,>avgRat,<avgDADOT,<avgAir,>avgYAC,<avgBltz,>avgHrry,<avgQBKD,>avgSk,>avgPrss,<avgComb,>avgMTkl,>avgMTkl%
